cat_name	1992-1	1992-10	1992-11	1992-12	1992-2	1992-3	1992-4	1992-5	1992-6	1992-7	1992-8	1992-9	1993-1	1993-10	1993-11	1993-12	1993-2	1993-3	1993-4	1993-5	1993-6	1993-7	1993-8	1993-9	1994-1	1994-10	1994-11	1994-12	1994-2	1994-3	1994-4	1994-5	1994-6	1994-7	1994-8	1994-9	1995-1	1995-10	1995-11	1995-12	1995-2	1995-3	1995-4	1995-5	1995-6	1995-7	1995-8	1995-9	1996-1	1996-10	1996-11	1996-12	1996-2	1996-3	1996-4	1996-5	1996-6	1996-7	1996-8	1996-9	1997-1	1997-10	1997-11	1997-12	1997-2	1997-3	1997-4	1997-5	1997-6	1997-7	1997-8	1997-9	1998-1	1998-10	1998-11	1998-12	1998-2	1998-3	1998-4	1998-5	1998-6	1998-7	1998-8	1998-9	1999-1	1999-10	1999-11	1999-12	1999-2	1999-3	1999-4	1999-5	1999-6	1999-7	1999-8	1999-9	2000-1	2000-10	2000-11	2000-12	2000-2	2000-3	2000-4	2000-5	2000-6	2000-7	2000-8	2000-9	2001-1	2001-10	2001-11	2001-12	2001-2	2001-3	2001-4	2001-5	2001-6	2001-7	2001-8	2001-9	2002-1	2002-10	2002-11	2002-12	2002-2	2002-3	2002-4	2002-5	2002-6	2002-7	2002-8	2002-9	2003-1	2003-10	2003-11	2003-12	2003-2	2003-3	2003-4	2003-5	2003-6	2003-7	2003-8	2003-9	2004-1	2004-10	2004-11	2004-12	2004-2	2004-3	2004-4	2004-5	2004-6	2004-7	2004-8	2004-9	2005-1	2005-10	2005-11	2005-12	2005-2	2005-3	2005-4	2005-5	2005-6	2005-7	2005-8	2005-9	2006-1	2006-10	2006-11	2006-12	2006-2	2006-3	2006-4	2006-5	2006-6	2006-7	2006-8	2006-9	2007-1	2007-10	2007-11	2007-12	2007-2	2007-3	2007-4	2007-5	2007-6	2007-7	2007-8	2007-9	2008-1	2008-10	2008-11	2008-12	2008-2	2008-3	2008-4	2008-5	2008-6	2008-7	2008-8	2008-9	2009-1	2009-10	2009-11	2009-12	2009-2	2009-3	2009-4	2009-5	2009-6	2009-7	2009-8	2009-9	2010-1	2010-10	2010-11	2010-12	2010-2	2010-3	2010-4	2010-5	2010-6	2010-7	2010-8	2010-9	2011-1	2011-10	2011-11	2011-12	2011-2	2011-3	2011-4	2011-5	2011-6	2011-7	2011-8	2011-9	2012-1	2012-10	2012-11	2012-12	2012-2	2012-3	2012-4	2012-5	2012-6	2012-7	2012-8	2012-9	2013-1	2013-10	2013-11	2013-12	2013-2	2013-3	2013-4	2013-5	2013-6	2013-7	2013-8	2013-9	2014-1	2014-10	2014-11	2014-12	2014-2	2014-3	2014-4	2014-5	2014-6	2014-7	2014-8	2014-9	2015-1	2015-10	2015-11	2015-12	2015-2	2015-3	2015-4	2015-5	2015-6	2015-7	2015-8	2015-9	2016-1	2016-10	2016-11	2016-12	2016-2	2016-3	2016-4	2016-5	2016-6	2016-7	2016-8	2016-9	2017-1	2017-10	2017-11	2017-12	2017-2	2017-3	2017-4	2017-5	2017-6	2017-7	2017-8	2017-9	2018-1	2018-10	2018-11	2018-12	2018-2	2018-3	2018-4	2018-5	2018-6	2018-7	2018-8	2018-9	2019-1	2019-10	2019-11	2019-12	2019-2	2019-3	2019-4	2019-5	2019-6	2019-7	2019-8	2019-9	2020-1	2020-2	2020-3	2020-4
building_garden_supplies	10845	10971	10873	11082	10904	10986	10738	10777	10790	10785	10915	10980	11333	11908	12297	12583	11410	11184	11417	11720	11669	11781	11875	11786	12316	13550	13384	13981	12233	12767	13076	13033	12987	13130	13224	13375	13738	13932	14092	14683	13613	13587	13415	13370	13548	13645	13683	13837	14023	15040	15264	14980	14036	14153	14340	14450	14902	14826	14981	14989	15197	16232	16158	16356	15561	15862	15709	15805	15918	15973	16027	16283	16436	17209	17341	17702	16462	16511	16716	16741	16662	16819	16828	16972	17732	18606	18944	19125	17943	17760	17791	17914	17969	18183	18341	18175	19613	18965	18689	19356	19193	20175	18986	18941	18878	18982	18951	18926	19248	20054	19982	20120	19698	19562	20373	20147	19900	19838	19920	19664	20359	20603	20969	20415	20515	20370	21274	20874	20725	20674	20683	20732	21270	22869	22864	22748	20041	21326	21139	21328	22003	22372	22489	22630	22637	24842	24974	25679	22727	24992	24565	24420	24622	24538	24713	25045	26126	27664	27674	27324	25797	26219	26520	26510	26569	26538	26814	27111	29686	27161	26647	27100	29479	29289	28905	27864	27339	27327	27358	26994	27533	26248	26566	25634	27088	27506	26610	27144	26638	26860	26625	26412	25721	24568	23196	22909	25659	25456	25292	25650	25700	25897	25329	25217	22758	20661	20931	20849	22498	22149	22092	22310	22332	21883	21474	21363	20566	22040	21964	22099	20448	21883	23518	21742	21544	21499	21268	21336	21484	23242	22904	23447	21193	21863	22066	22324	22720	22761	22786	22637	23618	23820	24108	24130	23573	24570	23390	22748	22571	22697	23075	23696	24402	25159	25104	25269	24824	24800	24974	25461	24969	25564	25513	25519	25200	26920	27121	26813	25123	25620	26544	26785	26989	26478	27015	26977	27057	28040	28352	28884	26077	27117	27349	27399	27164	27957	28045	27874	28977	29103	29337	29306	29020	29733	28772	28350	29117	28866	28796	28963	29845	31043	31402	31459	30162	29957	30299	30025	30036	30230	30331	31432	30524	32791	32004	32018	31333	30901	30952	31793	32290	32292	32056	32202	33530	32177	32308	32807	31585	31654	31884	31262	31415	31779	32617	32159	33922	33314	33148	31996
car_dealers	33478	35972	35928	36272	33817	33336	33776	34357	34781	35199	34585	35890	37621	40857	42077	42796	36723	35955	38521	39006	38892	40290	40504	40203	42660	47041	47203	46941	43685	44475	45072	44098	44541	44477	45232	46314	47224	49271	49863	50163	45902	46681	47056	47718	49652	48832	49748	49188	50349	53450	52710	52835	52288	52348	51531	52200	51798	52004	51472	53184	54010	54856	55314	55763	54601	54233	53861	52191	54066	55255	55488	55334	55494	59294	59817	60473	54841	56135	57464	57882	59264	56320	54997	57196	60535	64519	66269	65909	61260	61641	62150	63211	63452	64509	65713	65150	67679	66208	64645	63524	69085	68433	65812	65781	66638	65205	65311	66850	65926	80455	72413	68220	66188	65671	66933	67039	66710	66067	66350	63929	67665	67553	67931	69794	68168	66570	68251	65062	67354	69944	72204	68066	69673	69817	71738	70103	66535	68628	69580	69660	70325	71049	72919	71184	69270	73858	73407	75387	71093	72137	69960	72821	68991	71238	71365	74729	72083	67853	73211	73332	73773	74147	73649	73225	79639	81605	73787	70627	76757	75447	76064	75438	74108	74609	74898	74081	75369	75964	75187	74579	75399	77617	75921	73345	75841	75472	76205	77186	74794	74932	76549	77176	73834	56599	54984	54123	72206	71774	70052	69143	67161	64397	64985	62549	55790	56469	57355	57079	54188	53100	53557	54089	56611	57748	62263	53534	56920	64805	65498	65244	55856	60953	61823	61617	61478	62510	62551	63136	66286	69812	70293	71614	67320	67587	66876	65855	66654	66429	65792	68823	71646	74807	75763	76859	72589	72775	72871	73572	72581	73004	73859	75275	77647	81123	81597	81058	78801	77849	78295	79464	81097	81458	81086	79715	78614	86269	87305	86863	81181	83961	85336	85507	85660	86014	86770	85961	87943	92247	93000	92569	86646	90323	90840	91620	91602	91567	92169	92696	92292	96201	95663	98403	94522	92595	93044	93202	93729	95136	95324	96191	98325	100732	99195	99301	97626	95626	96469	96792	97631	97700	95319	99932	99148	99640	99780	101002	98296	98761	99140	99674	99558	99704	98197	98576	99055	104919	106504	104837	99357	102693	102079	102610	103055	103219	105133	103935	105634	105229	78202	68532
clothing_stores	9716	10174	10076	10318	9712	9669	9862	9755	9915	9957	10141	10154	10581	10449	10475	10442	10150	9916	10257	10386	10411	10593	10406	10549	10450	11000	10983	10952	10587	10806	10554	10451	10612	10672	10839	10674	10939	10882	11269	11124	10582	10850	10796	10976	10948	10824	10813	11198	11105	11577	11318	11435	11341	11376	11422	11504	11365	11316	11360	11534	11513	11881	11936	12110	11468	11623	11195	11413	11643	11735	11828	11845	12154	12540	12736	12746	12199	12164	12459	12304	12447	12559	12460	12180	12897	13400	13416	13573	12920	13075	13139	13373	13373	13270	13404	13381	13301	14231	14294	14084	13532	13818	13801	14027	13864	13722	14072	14366	14135	13973	13970	14126	14166	13801	14217	13950	13804	13994	14171	13286	14220	14625	14456	14714	14357	14436	14410	14220	14366	14200	14338	13966	14565	15067	15338	15456	14142	14465	14434	14651	14894	15141	15089	15175	15513	16055	16044	16183	15687	15984	15567	15736	15555	15645	15660	15764	16125	17120	17142	17207	16674	16293	16636	16514	16824	16450	16759	16450	17331	18126	17910	18497	17384	17385	17542	17492	17701	17691	17635	18256	18493	18431	18759	18570	18144	18643	18189	18545	18388	18522	18491	18412	18542	17317	17173	16868	18280	18338	18384	18642	18708	18635	18524	17560	17159	17296	17105	17127	17401	16510	16900	17038	16817	17015	17233	17172	17346	17984	18510	18212	17362	17880	17728	17612	17532	17552	17672	17670	18322	19086	19370	19526	18532	18719	18923	18864	19179	18975	18911	19508	19615	19935	20020	20168	20148	20035	19519	19679	19874	19741	19939	20093	20418	20750	20233	20531	20299	20295	20477	20356	20345	20553	20285	20273	20467	21059	21310	21232	20503	20612	21112	20698	20727	20864	20982	20764	20943	21116	21284	21390	21207	21310	21351	21544	21290	21430	21496	21345	21211	21617	21516	21826	21864	21413	21327	21489	21585	21346	21716	21792	21863	21770	22067	21768	21503	21674	21669	21560	21710	21541	21724	21844	21867	22643	22758	22223	22426	21863	22103	22966	22441	22686	22168	22269	22068	22154	22021	22644	21970	22338	22246	22155	22247	22407	22276	22246	22503	22135	11209	2371
electronics_appliances	3874	4186	4118	4248	3904	3916	3958	3981	3992	4081	4048	4098	4395	4710	4741	4794	4343	4383	4460	4485	4567	4642	4667	4729	4837	5635	5753	5834	4949	5052	5090	5185	5313	5330	5411	5508	5892	6212	6263	6281	5827	5849	5733	5956	6000	5965	6159	6141	6191	6428	6356	6305	6248	6365	6373	6428	6334	6234	6340	6438	6128	6572	6628	6659	6370	6360	6456	6400	6440	6525	6541	6559	6776	6940	7000	6964	6797	6788	6766	6829	6921	6960	7047	6954	7000	7400	7350	7498	7024	7116	7195	7230	7286	7378	7281	7410	7605	7416	7392	7346	7674	7652	7813	7611	7435	7397	7440	7588	7376	7237	7662	7825	7334	7267	7212	7135	7246	7298	7276	7141	7604	7522	7545	7660	7643	7690	7616	7678	7656	7543	7520	7511	7439	7984	8030	8127	7354	7364	7440	7563	7650	7731	7914	7909	8104	8494	8479	8513	8080	8117	8218	8241	8297	8337	8335	8422	8555	9047	8965	8889	8765	8784	8820	8775	8828	8877	8868	8955	9395	8953	9158	9478	9101	9185	9165	9132	9130	9126	9124	9158	9229	9293	9562	9368	9123	9026	9008	9090	9023	9088	9274	9174	9175	8732	8737	8351	9196	9171	9286	9530	9305	9329	9201	8814	8884	7920	8208	8068	8844	8099	8049	8026	8039	7965	8000	7965	8232	8265	8114	8285	8482	8122	8289	8366	8492	8361	8329	8383	8218	8795	8638	8462	8347	8442	8529	8416	8430	8557	8615	8493	8513	8350	8660	8800	8529	8698	8559	8704	8668	8750	8656	8619	8828	8771	8651	8608	8904	8683	8741	8737	8760	8708	8710	8654	8637	8826	9040	9019	8677	8725	8706	8588	8516	8607	8684	8880	8876	8612	8446	8464	8737	8552	8650	8704	8839	8650	8661	8694	8319	8067	7887	8063	8432	8289	8309	8334	8309	8386	8484	8170	8163	8247	8356	8326	8092	8291	8401	8249	8177	8093	8108	8181	8358	8314	8251	8133	8483	8404	8533	8441	8479	8385	8420	8268	8147	8089	8059	8098	8032	8105	8042	8101	8070	8133	8103	8134	8160	8056	7168	2827
food_bev_stores	30437	31148	30992	31057	30382	30526	30602	30718	30761	30963	31041	30942	31045	31346	31363	31499	31233	31058	31129	31164	31168	31349	31126	31201	31468	32196	32370	32294	31688	31700	31899	31858	32123	31964	32222	32401	32625	32578	32744	32903	32399	32415	32312	32540	32597	32466	32547	32625	33085	33704	33734	33819	32928	33076	33174	33178	33281	33470	33542	33494	34049	34348	34230	34190	33989	34156	34056	33978	33892	34106	34256	34281	34126	35093	35140	35533	34102	34275	34374	34534	34592	34856	34950	34916	35447	36271	36300	37665	35707	35652	36013	36060	35872	36126	36117	36411	35613	37476	37700	38033	35980	36559	37008	36717	37175	37038	37110	37308	37903	38944	39161	38996	38252	38133	38369	38439	38569	38506	38738	38832	38833	38693	38886	39072	38885	38913	38568	38713	38723	38834	38647	38599	39412	39776	39631	39809	39285	39318	39441	39019	39480	39808	39833	39878	40443	41177	41404	41534	39922	40419	40399	40635	40608	40631	40771	41045	41691	42842	42823	43191	41757	41800	42283	42081	42363	42184	42542	42845	42681	44542	44572	44730	43379	43233	43269	43654	43782	43827	44160	43846	44856	46113	46624	46831	45274	45271	44988	45454	45627	45754	45643	45853	46862	47703	47363	46942	46707	46883	47356	47355	47568	47845	47988	47740	47639	47603	47689	48134	46928	46912	47133	47219	47350	47330	47309	47559	47877	48575	49136	49157	48705	48274	48205	48202	47914	47919	48258	48631	49682	51334	51435	51185	50070	50075	50805	50427	50940	50948	51177	51047	51540	52860	52750	52593	51662	52112	52299	52284	52212	52276	52295	52506	52644	53865	53940	54524	53203	53071	52680	53197	53155	53548	53665	53744	54715	56626	56597	56880	54681	54803	55143	55362	55865	56036	56183	56348	56909	57017	57450	57265	56977	56967	56864	56944	57155	57374	57410	57246	57526	58803	58843	58842	57553	57040	57674	57962	58285	57967	58172	58480	59238	61331	61455	61804	59516	60006	60144	60303	60109	60188	60458	61090	61661	62660	62629	62245	61747	61934	62231	62214	62042	62436	62229	62454	63462	64073	64354	64522	62025	63158	63326	63410	63862	64586	64603	64095	64384	64329	81650	70953
