cat_name,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4
building_garden_supplies,0.9,-3.6,4,0.9,0.2,-0.9,2.9,0.3,-0.6,0.6,1.1,1.9,0.3,0.1,2.5,-3.2,-1.5,2.7,-0.9,-0.2,0.6,0.5,0.8,-0.1,1.8,1.1,-0.7,1.1,-0.9,0,0.6,0.3,3.6,-1.2,1.2,0.2,-3,2.7,-1.4,0.2,2.7,1.6,0,-0.7,0.5,1.8,-2.4,0,4.7,-5.8,0.2,0.7,-2,0.5,1.2,2.6,-1.4,0.1,0.4,1.5,3.4,-1.8,-0.5,-3.5
car_dealers,1.2,-1.5,4.2,0.6,0.9,0,0,0.7,0.6,-0.5,0.8,-0.5,-0.3,2.4,-2,0.5,0.2,0.6,1.5,0.2,0.9,0,-0.6,2.9,-0.1,-0.7,-2,0.9,0.3,0.9,0.1,-2.4,4.8,0.8,-1.5,0.1,-0.2,-0.9,0.5,0.4,0.5,-0.1,0.1,-1.5,0.4,1.1,0.1,1.2,-1.9,0.3,3.4,-0.6,0.5,0.4,0.2,1.9,-1.1,0.9,1.5,-1.6,0.8,-0.4,-25.7,-12.4
clothing_stores,-1.4,1.3,0.5,0.2,0.9,-1.2,0.7,0.3,-0.7,-1.1,0.8,0.5,-0.8,3.1,-2.1,-0.4,0.8,0.4,-1.1,1.7,0.3,-0.8,-0.5,1.4,0.2,-1.6,0.8,0,-0.5,0.7,-0.8,0.8,0.6,-0.3,1.4,-1.4,0.5,2.6,-2.5,1.1,3.9,-2.3,1.1,-2.3,0.5,1.7,0.5,-2.4,-0.7,-0.4,1.7,-0.4,-0.4,0.4,0.7,-0.6,-0.1,-0.4,-0.6,2.8,-0.6,-1.6,-49.4,-78.8
electronics_appliances,-1.6,-1.6,-2.1,1.1,0.6,1.6,-2.1,0.1,0.4,-0.9,-1.9,0.2,-1.7,1.4,-1.7,0.2,0.3,-0.3,0.9,1.2,-3.7,-1.3,-2.2,2.2,1.2,-0.9,2.5,1.3,-1.8,-0.9,-1,0.2,0.9,0.8,1.3,-0.4,0.4,1.5,-0.9,1.5,-1.1,0.5,-1.1,0.4,-1.8,0.6,-0.8,-1.4,0.2,-1.4,0.9,-0.8,0.7,-0.4,0.8,-0.4,0.4,-0.6,-0.4,0.5,0.8,-1.3,-11,-60.6
food_bev_stores,0.1,0.1,0,-0.2,0.1,0.4,0.4,0.1,-0.3,-0.4,0.8,-0.3,0.5,0,-0.9,1.1,0.5,0.6,-0.5,0.4,0.5,0.6,0.1,0,0.7,0.5,0.8,0.2,0.3,-0.3,0.1,0.4,1,0.4,0.2,0.6,-0.2,0.1,0.3,0.5,0,-0.3,0.6,-0.3,0.4,0.3,0,-0.6,2,-2.3,1.8,0.3,0.1,0.7,1.1,0,-0.8,0,0.4,0.3,-0.2,-0.1,26.9,-13.1
food_drink_service,0.5,-0.2,0.8,1.3,0.1,0.2,0.5,0.7,0,0.8,0.4,1.6,-1.4,2.2,-0.6,0.5,0,0,0.1,0.8,1.1,0,1.8,-1.6,3.5,0.2,-0.2,0.2,0.1,-0.4,0,0.6,0.6,0.5,1.2,0.5,0.5,0.6,0.8,-1.2,2.1,1.1,1.3,0.5,-2,0.7,-0.4,0,0,1,0.7,0.6,1,1,0.6,-0.2,0.6,-0.2,-1,1.1,0.9,-0.3,-29.7,-29.5
furniture,-0.4,-2.3,3,1.3,2,-1.9,1.6,0.4,-0.2,0.9,0,2.1,-1.5,0.5,-0.5,-0.2,0.5,1.6,-0.7,-0.2,2.2,-1.6,-0.4,-0.8,2.2,0.2,0.5,-1.1,0.7,0.6,-0.4,0.8,-0.6,2.6,1.1,0,-1.1,0.7,0.7,1.9,-1.4,0.1,0.4,-1.2,0,0.1,-0.3,-0.5,-1.3,1.2,1.4,0.7,-0.1,0.1,0,0.3,1.2,-0.8,0.2,-1.9,4,-0.1,-21.1,-58.7
gas_stations,-9.8,3.4,1.3,-1.6,3.8,1.6,0.7,-2.8,-5.7,-1.3,-1.4,-0.5,-3.8,-4.7,4.1,2.9,2.4,3.3,-1.2,-2.2,2.5,2.6,-0.7,4.4,1.5,0.9,-1,-0.5,-4,-1.5,-0.4,3.3,5.4,0,2.9,1.4,1.1,1.2,-1.1,-0.6,2.4,0.2,0.5,1,-0.9,3.8,-4.3,-6.6,-1.5,4.7,3.6,2.1,-1.1,-2.1,1.5,-1.4,-0.5,1.6,0.6,1.2,-0.6,-2.9,-16.5,-28.8
general_merchandise,0.2,-0.6,0.4,-0.3,0.9,-0.2,0.4,-0.4,0.7,-0.6,0.3,0.3,-1.6,1.5,-0.4,-0.3,-0.3,0.6,-0.4,0.1,-0.9,0.7,-0.2,-0.2,2.3,-1.4,0.6,0.6,-1.3,1.8,-0.5,0.4,1.3,-0.4,0.1,0.8,0.1,0.2,-0.9,0.2,3.1,-1.9,0.5,0.3,-0.3,0.6,0.9,-1.6,0.2,-0.8,1.5,0.5,-0.2,0,0.7,-0.5,-0.4,0.4,-0.2,0.1,0.5,-0.1,7.1,-20.8
grocery_stores,0.1,0.1,-0.1,-0.3,0.2,0.3,0.4,0,-0.3,-0.3,0.8,-0.5,0.6,-0.3,-0.8,1.2,0.4,0.6,-0.6,0.4,0.4,0.7,0,0.2,0.6,0.6,0.9,0.2,0.2,-0.3,0.2,0.4,1.2,0.3,0.2,0.7,-0.5,0.1,0.3,0.6,-0.1,-0.3,0.7,-0.3,0.2,0.3,0,-0.6,2.1,-2.5,2,0.3,0.2,0.7,1.2,0,-0.8,0,0.4,0.3,-0.2,-0.3,28.6,-13.2
health_personalcare_stores,0.9,-0.8,2.3,-1.6,0,0.7,1.1,0.7,1.4,-0.9,0.6,1.1,-0.7,2,-0.5,0.8,-0.3,0.7,-0.2,-0.3,0,-3.1,0.9,0.5,-0.1,1.2,0.5,0.7,0.1,0.7,0.2,0.9,0.4,0.5,0.3,-0.2,0.2,-0.8,0.7,0.8,1.6,-0.8,0.8,0.8,-0.2,1,1.4,-3.7,3.1,0.6,0.1,-0.3,0.8,-0.2,-0.4,-0.2,0.4,1,-1.4,-0.2,0.8,0,5,-15.2
sporting_hobby_book_stores,-1.8,0.6,1.4,0.1,0.7,-0.4,0.8,0.5,0.5,-1.3,1.8,2,-0.7,-0.3,-0.4,-1,0.7,3.9,-4.6,-2.3,0.3,0.4,-1.7,1.8,2.7,-2.8,-1,0.9,-1,-0.7,-0.9,1,1.2,0.4,1.3,-0.7,-2.3,3.5,1,-1.8,0.2,-3.9,-3,-0.9,-1.8,0.1,1,-1.7,1,1,0.2,1.7,0,0.9,-0.9,-0.1,0.8,0.2,-3.5,1.9,0.7,0.2,-17.8,-38
