name	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Asparagus	97.4	85.8	94.7	88	84.9	91.5	96.2	76.7	71.7	64.8	78.9	82.1	89.4	98	104.3	115.2	138.7	138.8	148.1	149.2	142.4	137	137.6	125.2	131.1	110	111.4	124.8	126.4	145.5	150.4	137.2	126.7	119.4	152.4	114.4	91.1	92.7	71.8	70.3	67.9	65	62	62	56.8	47.4	64.9	65.3	61.8	58
Broccoli	109.2	149.6	147.4	160.7	168.2	213.9	234.8	270.3	271.5	329.7	381.9	453.1	541.4	558.2	674	715.4	844.2	855.9	1002.3	1074.4	989.3	936.8	1060.2	1068.5	1415.2	1384.3	1442.8	1574.4	1612.8	1949.1	1950.2	1775.5	1759.5	1748.6	1733.1	1713.2	1853.8	1828.7	1941.2	1941	1887.9	1775.6	2007.6	2066.4	1991	2110.4	2154.8	1990.8	1677.8	1664.2
Cabbage	1866.9	1921.5	1861.1	1990.7	1971.2	2019.7	1912.2	1917.4	2013.4	1936.9	1884.9	1981.1	2087.7	1975	2002.3	2132.2	2143.4	2275.9	2251.2	2146.5	2163.4	2187.1	2326.7	2481.3	2478.3	2210.4	2290	2526.7	2377.3	2163.5	2562.3	2546	2422.7	2216.4	2411.8	2323.4	2341.1	2388.6	2451.6	2246.7	2279.7	2013.4	1975.2	2175	2114.1	2017.8	1891.8	1976.5	1729.7	1987.5
Carrots	1218.2	1287.1	1402.1	1435.7	1473.9	1423.9	1399.7	1216.3	1213.1	1330.8	1393.2	1463.2	1568.5	1523.4	1561.6	1534.5	1606	2089.6	1785.7	2038.6	2110.6	1997.3	2169.8	2888	3350.9	2951.8	3323.6	3858.9	2706.8	2661.7	2708	2783.9	2586.5	2696.4	2628	2654.5	2429	2443	2456.5	2216.3	2323.7	2186.2	2362.7	2425.5	2537.9	2574	2224.8	2085.7	3661.6	4129.3
Cauliflower	151.9	143.4	175.1	160.2	168.3	197.9	224.3	238.3	193.3	271.1	284.6	351.7	342	370.4	481.7	490.5	590.6	592.8	646.5	662.2	654	615.7	607.2	701.1	734.5	648.4	680.1	632.3	546.8	666.6	635	592	584.2	620.5	608.8	686.8	667.8	661.6	648.4	700	616.6	639.9	654.2	657.2	628.6	651.1	728.3	869	930.9	1004.5
Cucumbers	447.8	432.6	470.2	420.6	467.6	496.9	510.9	564.7	593.1	592.1	614.3	603.7	722.2	728.6	766.1	723.2	745.7	813.3	834.9	805.2	857.6	854.1	915.6	933.5	941.5	1000.2	983.6	1157.1	1119.7	1182.6	1087.3	1039.2	1093.9	938.1	1000.5	926.5	907.9	970	884.3	935.9	835.1	719.4	818.2	760.3	689.5	672.5	728.3	502.9	559.6	517.5
Head Lettuce	4836.5	4936.7	5047	5243.5	5323.1	5410.8	5640	6043.2	6052.8	6143.9	6336.3	6268.2	6294.9	5775.5	6397.6	6133.4	5829	6787.7	7050.5	7523.1	7320.1	7077.8	7081	6781.1	7005.8	6234.9	6207.2	6879.4	6546.1	7318.1	6967.3	6891.7	6814	6824.8	6622.8	6525.3	6249.4	5747.4	5295.2	5018	5012	4966.5	5097.6	4515	4591.8	4310.8	5384.1	4939.6	4056.1	4144.6
Leaf & Romaine Lettuce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	778.7	571.2	613	784.2	915.8	1061.6	1157.5	1388.7	1535.5	1710	1787.4	1775.6	2024.5	2076.7	2393.1	2702.4	2646.1	3197.4	3547.3	3971.3	3297.3	3981.7	3864.9	3555.5	3420	4039.3	4008.1	4108.1	3927	3766.3	4056.8	4938	4998.3	3975.7	3967.8
Mushrooms	58.3	66.3	76.7	102.3	126.1	142.1	151.2	191.1	229.5	255.8	275.1	319.1	337.2	388.1	419.9	427.2	457.1	471.1	488.2	516	516.1	501.2	527	525.3	540.5	546	564.5	631.1	670.8	681.3	706.5	703.6	709.2	716.8	711.4	718	710.9	694.9	696.2	685.4	736.3	789.5	777.6	786.8	837.7	848.5	838.4	839.1	782	782
Onions	2602.3	2490.3	2449.5	2501.8	2747.9	2544.4	3085.5	2918.9	3052.9	3150.7	2902.1	2984.5	3396.1	3219	3605.3	3802.9	3605.1	3761.9	3874.4	4020.7	4397.3	4266	4689.3	5056.4	5599.3	5585.4	5564.6	5960.9	5841.9	6248.2	6236.8	6083.6	6124.2	6254.6	7468.5	6458.5	6370.1	7098.3	6524.8	6472.4	6421	6437.3	6222.9	6085.2	5973.9	5728.4	7443.8	7666.2	6282.6	6134.2
Potatoes	12812	11783.4	12451.5	11484.4	10873.1	11693.4	12089.4	11615.8	10487.9	11360.7	11698	10549	10765.4	11600.9	11450.1	10965.7	11744.8	11600.2	12095.2	12172.8	11334.8	12452.1	12551.8	12873.9	13086.2	13019.5	13091.4	12816	12529.8	13000	13184.8	13252.1	12567.2	13322.1	13181.3	12075.5	11347.9	11225.2	10995.2	11059.1	11341.5	10533.7	11065.2	11128.9	10596.1	10982.1	10884.7	11433.6	10791.5	11532.6
Snap beans	312	309.6	313.7	303.3	292	317.9	318.3	296.3	292.1	292.8	304.4	292.6	297.3	288.2	310.7	298.1	299.1	295.7	296.2	293.8	273.8	300	393.2	410.2	417.7	444.1	396.4	380.5	485.6	558	588.1	619.3	596.5	566.3	575.7	551.1	621.3	650.2	582.4	522.5	506.2	459.1	434	425.2	372	395.2	421	377.1	386.3	434.2
Spinach	61.1	63.3	59.4	62.8	60.7	62.9	68.5	83.6	91.5	106.4	118.7	142.6	146.7	140.8	146.4	181.7	166.4	166.2	174.8	182.6	213	228.5	235.1	197.6	223	203.6	193.4	326.5	296	305.7	423.9	345.8	462.5	508.9	575.6	709.6	604.5	507.9	551.9	669.9	564.8	601	536	561.9	591.9	607.6	696.4	663.4	674.3	872.1
Sweet Corn	1594.2	1547.4	1630.4	1675.8	1652.9	1678.5	1746.7	1663.8	1511.6	1501.5	1524.5	1475.2	1443.5	1487.4	1560.7	1575.4	1505	1566.4	1457.4	1654.3	1745.5	1552.7	1847.3	1884.8	2212.1	2179.2	2312.7	2364.1	2630.7	2576.2	2602.7	2681.5	2648	2749.2	2712.6	2641.6	2574.5	2850.4	2889.9	2883.9	2914.9	2633.6	2791	2856.1	2464.9	2795.2	2303.7	2361.3	2254.8	2228.4
Tomatoes	1933.4	1887.7	2088.5	2043.1	2098.1	2226.4	2296.7	2098.7	2302.3	2361.2	2556.7	2607	2676.9	2726.2	2816.3	2974	3136.1	3241.4	3588.9	3596.2	3380	3398.8	3903.3	3666.3	3738.7	3409.8	3363.4	3424.8	3525.6	4026.9	4162	4061.1	4289.3	3888.4	4169.6	4196.9	4041.1	3795.6	3554.6	3775.5	3253.8	3508.1	3412.8	3253.8	3386.4	3342.6	2812.2	2789.5	2726.3	2752.2
